IGX,KWT,D000000000KWT1111111
CKC,BEN,D400000000BEN1111111
NXE,MNP,B400000000MNP1111111
OBK,CHE,L000000000CHE1111111
XMK,SSD,J200000000SSD1111111
OGA,ESH,O000000000ESH1111111
KWG,UGA,O200000000UGA1111111
JWP,LIE,I300000000LIE1111111
KGD,KIR,M000000000KIR1111111
ZNB,BRA,B200000000BRA1111111
RUT,TZA,T400000000TZA1111111
JSH,RWA,I300000000RWA1111111
GSS,BRN,E200000000BRN1111111
BLQ,SHN,D200000000SHN1111111
OLH,SVN,Q300000000SVN1111111
KJC,ASM,I200000000ASM1111111
ZVZ,TGO,E000000000TGO1111111
SMT,ARE,T200000000ARE1111111
IXM,KIR,K300000000KIR1111111
ZKZ,GTM,G100000000GTM1111111
PMS,SDN,M300000000SDN1111111
HSR,BEL,D000000000BEL1111111
AGT,ABW,J000000000ABW1111111
PGT,BGD,K300000000BGD1111111
TWO,ROU,P300000000ROU1111111
ZRB,CIV,R000000000CIV1111111
XJP,ATF,I300000000ATF1111111
NEQ,BEN,C400000000BEN1111111
NMW,NIC,E200000000NIC1111111
XBU,MYS,C400000000MYS1111111
FVW,NIC,D200000000NIC1111111
MVJ,BLR,F400000000BLR1111111
HYQ,MDV,A000000000MDV1111111
TFD,GNB,T100000000GNB1111111
VBA,ESP,N400000000ESP1111111
ZDS,ARG,A300000000ARG1111111
SCR,ATG,H100000000ATG1111111
POK,VIR,S100000000VIR1111111
TOH,SPM,H100000000SPM1111111
ZID,GUY,Q400000000GUY1111111
EQX,BGR,B300000000BGR1111111
XOX,NZL,B100000000NZL1111111
KQO,PRI,J300000000PRI1111111
EFV,URY,D400000000URY1111111
RGB,VAT,D100000000VAT1111111
JBR,NFK,G000000000NFK1111111
UOO,VEN,I000000000VEN1111111
AIR,ITA,T400000000ITA1111111
KVJ,FJI,H200000000FJI1111111
ISA,PSE,N100000000PSE1111111
MUO,PRT,M400000000PRT1111111
QTK,COM,P300000000COM1111111
VVI,BRN,F300000000BRN1111111
JZU,GUF,J000000000GUF1111111
FBN,ALB,L400000000ALB1111111
CYO,PAN,T300000000PAN1111111
OFB,BEL,R200000000BEL1111111
QTB,MWI,M100000000MWI1111111
HGZ,NCL,N200000000NCL1111111
ZTD,NCL,C200000000NCL1111111
VUU,SPM,K400000000SPM1111111
UQX,PHL,H100000000PHL1111111
OJJ,ARG,K100000000ARG1111111
EHJ,VEN,H400000000VEN1111111
NBC,CMR,E200000000CMR1111111
RHJ,ESH,A400000000ESH1111111
FOR,KGZ,F200000000KGZ1111111
XMK,JOR,H300000000JOR1111111
XKV,MDG,T400000000MDG1111111
FCC,COD,E100000000COD1111111
CMW,GAB,T100000000GAB1111111
YHG,MDV,B000000000MDV1111111
JXX,URY,J100000000URY1111111
STG,SLE,C400000000SLE1111111
EKE,POL,C100000000POL1111111
WDV,CYM,I400000000CYM1111111
PJH,MAC,R400000000MAC1111111
SAM,SWZ,O300000000SWZ1111111
LGC,WSM,I100000000WSM1111111
AOY,TCD,F400000000TCD1111111
JBY,ALA,M400000000ALA1111111
VUR,IRN,E400000000IRN1111111
GFD,COM,E000000000COM1111111
SNZ,SDN,L200000000SDN1111111
OSX,ISR,G300000000ISR1111111
YOW,LSO,G000000000LSO1111111
DOY,HND,O300000000HND1111111
CJN,MKD,T100000000MKD1111111
CSS,AUS,D100000000AUS1111111
SJO,SYC,D100000000SYC1111111
QRT,MYS,O000000000MYS1111111
OVF,GRD,F000000000GRD1111111
TVR,NOR,T200000000NOR1111111
VGD,AUS,P000000000AUS1111111
SCZ,KIR,E000000000KIR1111111
WYW,ROU,T300000000ROU1111111
LWQ,BVT,Q200000000BVT1111111
TWH,NPL,P300000000NPL1111111
CAB,JPN,T300000000JPN1111111
XEQ,COL,D300000000COL1111111
GDS,LBY,G400000000LBY1111111
LDI,DOM,G200000000DOM1111111
IJB,LTU,I300000000LTU1111111
UKU,LUX,R000000000LUX1111111
WHQ,CUW,F400000000CUW1111111
WQS,CXR,Q300000000CXR1111111
PNN,IOT,Q400000000IOT1111111
KHA,MWI,K200000000MWI1111111
IQQ,GLP,S400000000GLP1111111
AQI,MDV,J400000000MDV1111111
ZOG,LBY,I400000000LBY1111111
CVU,VNM,C100000000VNM1111111
KKM,MOZ,E100000000MOZ1111111
XKT,ZMB,T400000000ZMB1111111
RID,BEN,P400000000BEN1111111
MET,PRI,S100000000PRI1111111
LHL,HUN,I000000000HUN1111111
TFX,DEU,I000000000DEU1111111
ZFE,IRN,T400000000IRN1111111
DVT,NCL,D000000000NCL1111111
OKE,BDI,A100000000BDI1111111
XVM,ISL,A300000000ISL1111111
WAW,PER,S100000000PER1111111
MZV,TTO,T300000000TTO1111111
ZNH,FRA,T000000000FRA1111111
USN,TWN,E000000000TWN1111111
RQE,PCN,S300000000PCN1111111
OTI,GUM,C400000000GUM1111111
DDA,NLD,F100000000NLD1111111
DIO,NCL,B000000000NCL1111111
PNC,GRD,N100000000GRD1111111
CMY,AND,F400000000AND1111111
TRF,BTN,R000000000BTN1111111
BLH,MLT,J300000000MLT1111111
FMK,NIC,Q400000000NIC1111111
RBJ,NZL,P200000000NZL1111111
QXU,POL,N100000000POL1111111
DON,ZMB,E000000000ZMB1111111
EUU,KGZ,T000000000KGZ1111111
DQG,KEN,H000000000KEN1111111
XUI,WSM,J000000000WSM1111111
YJU,SLE,J000000000SLE1111111
MNU,ISL,I200000000ISL1111111
MGO,BHR,T000000000BHR1111111
TWP,LKA,D300000000LKA1111111
ASJ,FRA,I000000000FRA1111111
RGT,AUS,B200000000AUS1111111
EHC,ASM,B100000000ASM1111111
KER,BVT,O100000000BVT1111111
EGW,GEO,P300000000GEO1111111
PFS,CRI,B000000000CRI1111111
ZOE,YEM,J000000000YEM1111111
XNA,BRA,G100000000BRA1111111
YTK,DOM,G400000000DOM1111111
WZO,FRO,G300000000FRO1111111
PWF,EGY,F000000000EGY1111111
DLI,HKG,D300000000HKG1111111
UOI,VCT,J400000000VCT1111111
THJ,PRI,T200000000PRI1111111
WMW,LBN,L000000000LBN1111111
SQQ,REU,K000000000REU1111111
TGY,UKR,N400000000UKR1111111
SAO,BWA,N100000000BWA1111111
LWT,GBR,N200000000GBR1111111
PAR,HTI,Q300000000HTI1111111
SFM,NIC,O100000000NIC1111111
EBS,CYP,G100000000CYP1111111
ACX,SGS,Q400000000SGS1111111
XKU,TCA,S000000000TCA1111111
JSA,DEU,O100000000DEU1111111
QIN,AUS,A300000000AUS1111111
UZW,BLR,P300000000BLR1111111
MRH,JPN,A400000000JPN1111111
UIT,ARM,S300000000ARM1111111
LHU,TUR,N100000000TUR1111111
RAP,BES,B000000000BES1111111
FGR,SPM,R100000000SPM1111111
ECG,CPV,H100000000CPV1111111
DVU,VIR,Q300000000VIR1111111
ENK,JOR,I000000000JOR1111111
HVY,AUS,G200000000AUS1111111
FPT,ZAF,R300000000ZAF1111111
ORC,SGP,K100000000SGP1111111
LCZ,IOT,J400000000IOT1111111
ERD,ASM,N200000000ASM1111111
CPZ,RWA,F000000000RWA1111111
ETG,JAM,S200000000JAM1111111
WBM,BHS,R000000000BHS1111111
YQP,CCK,F000000000CCK1111111
UKU,VUT,Q000000000VUT1111111
XNB,MSR,H400000000MSR1111111
VHR,FRA,A100000000FRA1111111
OYE,TTO,R300000000TTO1111111
VBQ,COG,D300000000COG1111111
ICW,AZE,I200000000AZE1111111
KXL,HTI,L400000000HTI1111111
YEB,MYT,R000000000MYT1111111
OLL,KIR,B100000000KIR1111111
KQX,MLT,T300000000MLT1111111
BPD,DJI,M300000000DJI1111111
YRM,NLD,F400000000NLD1111111
TBY,SSD,L300000000SSD1111111
LWS,ATG,M000000000ATG1111111
OTR,EGY,P200000000EGY1111111
TZD,BIH,M400000000BIH1111111
UHO,ISL,L200000000ISL1111111
AUO,CHN,A000000000CHN1111111
WIU,BRN,L300000000BRN1111111
LEA,AZE,P200000000AZE1111111
PDJ,PNG,D100000000PNG1111111
CRK,CRI,S200000000CRI1111111
OEE,GMB,P100000000GMB1111111
LBI,NGA,C000000000NGA1111111
SOE,OMN,M100000000OMN1111111
BPU,IRN,H400000000IRN1111111
JNR,NIC,I400000000NIC1111111
BXK,LSO,N200000000LSO1111111
XYN,COG,C000000000COG1111111
ATC,MEX,P300000000MEX1111111
APD,ARM,K300000000ARM1111111
ZBI,AFG,K400000000AFG1111111
JLJ,SOM,B100000000SOM1111111
AST,GEO,M000000000GEO1111111
VAP,STP,Q300000000STP1111111
RYE,VIR,R000000000VIR1111111
NYH,NER,T100000000NER1111111
QQB,CYP,C100000000CYP1111111
RJZ,SUR,R000000000SUR1111111
XZR,PRI,O400000000PRI1111111
DJG,BMU,Q300000000BMU1111111
UBQ,ZWE,Q000000000ZWE1111111
QJV,AZE,I100000000AZE1111111
KQX,JAM,F100000000JAM1111111
IWW,PSE,A100000000PSE1111111
XVJ,ZWE,J200000000ZWE1111111
LCA,JOR,F100000000JOR1111111
UMU,TLS,Q000000000TLS1111111
CEX,NIC,C300000000NIC1111111
FYS,SLB,N100000000SLB1111111
VRI,PRT,R000000000PRT1111111
YRU,VAT,C100000000VAT1111111
KAY,ITA,K400000000ITA1111111
TLW,VNM,H300000000VNM1111111
YGE,PRI,D400000000PRI1111111
FNP,GUY,T300000000GUY1111111
SBA,MOZ,C000000000MOZ1111111
FFW,BHS,E400000000BHS1111111
CCQ,CAF,A000000000CAF1111111
ZZO,TCA,M300000000TCA1111111
KEV,THA,H200000000THA1111111
HZW,FIN,L100000000FIN1111111
UNA,PER,M400000000PER1111111
URD,CUW,H200000000CUW1111111
QYJ,GRC,D000000000GRC1111111
JMW,MUS,N200000000MUS1111111
XHZ,BLM,H200000000BLM1111111
VLW,STP,B400000000STP1111111
WUM,SLE,P100000000SLE1111111
RCC,ERI,A300000000ERI1111111
DUB,MLI,C400000000MLI1111111
TMR,UKR,P300000000UKR1111111
EJO,PRY,Q100000000PRY1111111
DNF,CPV,D400000000CPV1111111
QTG,GRL,P000000000GRL1111111
DLV,GAB,D000000000GAB1111111
LIO,AZE,F000000000AZE1111111
TQQ,GUM,K200000000GUM1111111
ZUE,CMR,G000000000CMR1111111
YHY,BLM,O100000000BLM1111111
KWK,MDA,J300000000MDA1111111
EIF,UKR,H100000000UKR1111111
HCM,HMD,G100000000HMD1111111
ADW,SUR,G100000000SUR1111111
ZTL,AND,I000000000AND1111111
HKF,GGY,S000000000GGY1111111
IJH,IDN,B100000000IDN1111111
IMA,DEU,Q000000000DEU1111111
BMB,PCN,Q300000000PCN1111111
MKS,GRL,D200000000GRL1111111
HES,UMI,S100000000UMI1111111
HVX,BRB,A000000000BRB1111111
BIG,SMR,P200000000SMR1111111
YTF,GUY,H100000000GUY1111111
HLK,BOL,R000000000BOL1111111
YPO,KEN,T300000000KEN1111111
AKT,EST,A200000000EST1111111
IBY,DNK,I200000000DNK1111111
PAL,CIV,R400000000CIV1111111
LVN,CHN,Q200000000CHN1111111
HLQ,IOT,S100000000IOT1111111
YUS,LVA,S200000000LVA1111111
LKF,GRL,A000000000GRL1111111
GUT,PRK,P100000000PRK1111111
HQA,SVK,L400000000SVK1111111
EBD,CCK,P200000000CCK1111111
HIZ,NGA,T400000000NGA1111111
MYW,SWZ,O200000000SWZ1111111
GIF,FRA,J000000000FRA1111111
SBI,BRB,L100000000BRB1111111
JZI,KIR,P400000000KIR1111111
ORN,PAK,D300000000PAK1111111
JSG,JPN,I100000000JPN1111111
RJU,HTI,J000000000HTI1111111
EGM,ESH,O300000000ESH1111111
HVB,VCT,C100000000VCT1111111
SGJ,AUS,E300000000AUS1111111
ENT,SVK,F200000000SVK1111111
FPR,ZAF,M300000000ZAF1111111
WHE,PRY,P000000000PRY1111111
QAA,DZA,D000000000DZA1111111
RZW,KHM,L300000000KHM1111111
LAG,QAT,J400000000QAT1111111
RFV,URY,N300000000URY1111111
TPK,KWT,Q000000000KWT1111111
HVV,KAZ,R300000000KAZ1111111
ITE,KNA,G300000000KNA1111111
QCL,LKA,K000000000LKA1111111
CMB,DEU,I200000000DEU1111111
VOS,MDV,E100000000MDV1111111
PYD,IMN,Q200000000IMN1111111
QJF,SYC,A300000000SYC1111111
NEK,NCL,H100000000NCL1111111
TRH,SHN,Q400000000SHN1111111
RMO,QAT,H200000000QAT1111111
HQT,SAU,Q100000000SAU1111111
QKS,SYC,K400000000SYC1111111
YJY,SWZ,F200000000SWZ1111111
FQF,GMB,S400000000GMB1111111
FWA,CYP,R300000000CYP1111111
ZWT,FJI,K400000000FJI1111111
ZLE,MLT,H300000000MLT1111111
HZD,GMB,A100000000GMB1111111
HBQ,SDN,H200000000SDN1111111
PRT,KNA,F300000000KNA1111111
KML,KAZ,H300000000KAZ1111111
HWY,MAC,O100000000MAC1111111
FSN,BTN,K000000000BTN1111111
PUZ,SYC,A000000000SYC1111111
FNS,FLK,R400000000FLK1111111
DFZ,PCN,A200000000PCN1111111
ZVR,GGY,C400000000GGY1111111
GDM,MWI,T100000000MWI1111111
CNY,TGO,N400000000TGO1111111
AQN,PSE,D300000000PSE1111111
UNI,BRA,B100000000BRA1111111
JTL,PAN,N400000000PAN1111111
PYP,SUR,T400000000SUR1111111
KGK,ZAF,J100000000ZAF1111111
AVT,BEN,K400000000BEN1111111
USQ,GTM,D000000000GTM1111111
CUK,ESP,I300000000ESP1111111
VEM,LCA,H000000000LCA1111111
DPF,MDG,S400000000MDG1111111
WED,BES,A300000000BES1111111
CKP,FIN,E100000000FIN1111111
YSI,MWI,C400000000MWI1111111
NDT,UKR,F000000000UKR1111111
ACW,BVT,S300000000BVT1111111
WQE,KOR,J400000000KOR1111111
SJX,SJM,N100000000SJM1111111
NVX,ROU,C300000000ROU1111111
SHE,HUN,B000000000HUN1111111
NGD,GGY,D300000000GGY1111111
TDX,KWT,T100000000KWT1111111
ZXC,ABW,H400000000ABW1111111
LSK,TKM,E300000000TKM1111111
SXL,AGO,S400000000AGO1111111
LWE,WSM,R200000000WSM1111111
LZB,SEN,A100000000SEN1111111
XFC,NLD,J300000000NLD1111111
VOX,RUS,N100000000RUS1111111
XYV,UKR,L200000000UKR1111111
JTW,CAN,M000000000CAN1111111
TLT,WLF,B000000000WLF1111111
QOA,KAZ,B200000000KAZ1111111
EWJ,CZE,Q400000000CZE1111111
LFN,OMN,G300000000OMN1111111
YLS,TJK,C400000000TJK1111111
HOU,RUS,L300000000RUS1111111
JHT,IRL,C400000000IRL1111111
CLI,LIE,G000000000LIE1111111
MRT,GUY,S100000000GUY1111111
LQB,GHA,J200000000GHA1111111
BTT,NPL,T400000000NPL1111111
MPA,BRB,O400000000BRB1111111
HQZ,OMN,M000000000OMN1111111
BVU,LTU,S000000000LTU1111111
JZP,KAZ,R100000000KAZ1111111
ERB,WLF,S100000000WLF1111111
WWP,IRN,C000000000IRN1111111
VVV,PRK,N100000000PRK1111111
ACE,MAC,S000000000MAC1111111
KXG,TTO,G200000000TTO1111111
ZYB,NER,H100000000NER1111111
BVC,TUN,H000000000TUN1111111
HAN,MKD,S400000000MKD1111111
YYX,MUS,D100000000MUS1111111
ACV,LBN,R300000000LBN1111111
MFF,COK,F100000000COK1111111
BMY,RUS,I400000000RUS1111111
NZE,SAU,J400000000SAU1111111
FGM,THA,C300000000THA1111111
CLO,BOL,O400000000BOL1111111
YGE,GEO,G100000000GEO1111111
BDG,TUV,G400000000TUV1111111
PKM,NCL,C300000000NCL1111111
CIR,KGZ,H100000000KGZ1111111
PES,FRA,M100000000FRA1111111
PDP,CUB,B200000000CUB1111111
PVX,NOR,I400000000NOR1111111
ABF,QAT,Q400000000QAT1111111
AIY,GNQ,Q400000000GNQ1111111
BJY,CPV,F100000000CPV1111111
KOJ,FIN,K200000000FIN1111111
VLB,MAF,O300000000MAF1111111
HFN,BWA,J200000000BWA1111111
AGN,ZWE,A000000000ZWE1111111
HIN,BLZ,D400000000BLZ1111111
EIS,MRT,B100000000MRT1111111
OIZ,MAF,I300000000MAF1111111
NWA,BMU,D200000000BMU1111111
RQB,TGO,F000000000TGO1111111
CCE,PRY,P100000000PRY1111111
OUP,SLE,S300000000SLE1111111
ETM,MSR,J100000000MSR1111111
NYS,FRO,M200000000FRO1111111
XDG,GAB,J000000000GAB1111111
ORE,NPL,S200000000NPL1111111
LQL,ERI,M400000000ERI1111111
DZZ,KIR,R200000000KIR1111111
CEO,LCA,S400000000LCA1111111
YTE,GLP,A100000000GLP1111111
ZWB,AIA,N200000000AIA1111111
TVQ,FIN,P300000000FIN1111111
LHN,GUF,S000000000GUF1111111
YSM,IRN,T200000000IRN1111111
VGC,GRD,S100000000GRD1111111
HEZ,DEU,L000000000DEU1111111
TFE,TON,F200000000TON1111111
IYB,DZA,D400000000DZA1111111
LHB,IRN,N100000000IRN1111111
LTY,MDV,C200000000MDV1111111
PHM,VAT,A000000000VAT1111111
QYC,TWN,G300000000TWN1111111
EUA,LIE,K000000000LIE1111111
HSJ,CHE,S200000000CHE1111111
BMQ,ASM,P200000000ASM1111111
EAO,AUS,A000000000AUS1111111
PVR,SHN,J400000000SHN1111111
JKU,VEN,F100000000VEN1111111
GSO,DMA,M300000000DMA1111111
SEG,NRU,F200000000NRU1111111
HZK,BEL,G100000000BEL1111111
MFV,OMN,H300000000OMN1111111
UDZ,PNG,B400000000PNG1111111
UDR,VUT,A100000000VUT1111111
SPA,ETH,F400000000ETH1111111
FVG,IRN,T300000000IRN1111111
RJH,MNE,E300000000MNE1111111
CDJ,CHE,I200000000CHE1111111
EQV,SVK,I100000000SVK1111111
MID,SOM,A200000000SOM1111111
OSF,IRN,F200000000IRN1111111
IZO,GRC,S400000000GRC1111111
OWN,VEN,G300000000VEN1111111
FAQ,WLF,P000000000WLF1111111
TGW,GUY,L400000000GUY1111111
CLJ,PAK,S000000000PAK1111111
MWA,DZA,D200000000DZA1111111
QHQ,COD,R400000000COD1111111
MBB,ISL,J400000000ISL1111111
ITS,PAN,B000000000PAN1111111
UCT,WLF,M000000000WLF1111111
GUR,GTM,K100000000GTM1111111
YIA,DOM,P300000000DOM1111111
KRH,AUT,R200000000AUT1111111
WKS,ARG,L300000000ARG1111111
PAS,KIR,M200000000KIR1111111
MQZ,TLS,B100000000TLS1111111
OGK,MDV,L100000000MDV1111111
HYQ,CHL,I100000000CHL1111111
IXY,GLP,E400000000GLP1111111
XFU,UZB,R400000000UZB1111111
MXX,LBR,Q200000000LBR1111111
QNF,LUX,D300000000LUX1111111
QPV,GIN,Q100000000GIN1111111
PHD,KEN,J400000000KEN1111111
BWR,IMN,S000000000IMN1111111
ULF,NFK,S000000000NFK1111111
XRU,DEU,N000000000DEU1111111
OQP,TKM,R300000000TKM1111111
NIA,IMN,E400000000IMN1111111
GUY,LSO,J400000000LSO1111111
XLJ,GUM,C000000000GUM1111111
SIA,KHM,B200000000KHM1111111
GNH,PNG,J200000000PNG1111111
UTA,LIE,R000000000LIE1111111
TTV,TCA,J300000000TCA1111111
KKI,VGB,K000000000VGB1111111
VLX,WSM,A000000000WSM1111111
BIY,AGO,G100000000AGO1111111
SMU,TCA,K000000000TCA1111111
ABW,ISL,O000000000ISL1111111
BWE,LVA,G300000000LVA1111111
LJU,CYP,J100000000CYP1111111
YBB,ETH,K100000000ETH1111111
MNB,JEY,Q400000000JEY1111111
GFY,ESH,H100000000ESH1111111
BMW,TJK,M300000000TJK1111111
NBY,MMR,S000000000MMR1111111
EQX,MLI,Q000000000MLI1111111
CVX,PSE,I000000000PSE1111111
PIC,MDV,L200000000MDV1111111
UBA,SSD,J400000000SSD1111111
LBB,GTM,P000000000GTM1111111
YTE,FJI,O300000000FJI1111111
ZRA,FJI,B200000000FJI1111111
GKO,GUF,L000000000GUF1111111
HBV,SWZ,R300000000SWZ1111111
PEW,NPL,M100000000NPL1111111
HPQ,PRI,A200000000PRI1111111
WAI,ATF,A200000000ATF1111111
NBO,PER,Q300000000PER1111111
NDC,MHL,H200000000MHL1111111
WGE,USA,S100000000USA1111111
GDC,PRY,L100000000PRY1111111
DQD,TLS,J300000000TLS1111111
OPJ,BEN,B400000000BEN1111111
VED,BGR,T300000000BGR1111111
OIO,HRV,O300000000HRV1111111
UYA,LVA,G400000000LVA1111111
RNB,IRN,S000000000IRN1111111
BOB,COK,K400000000COK1111111
PVZ,WLF,O200000000WLF1111111
WWW,USA,E400000000USA1111111
CEB,MDV,G100000000MDV1111111
FIY,NPL,E200000000NPL1111111
IWH,SVK,S000000000SVK1111111
LCG,IDN,F000000000IDN1111111
PFG,DOM,R000000000DOM1111111
TKU,TGO,J400000000TGO1111111
MWF,UGA,O400000000UGA1111111
ILL,SWZ,J300000000SWZ1111111
NDM,WSM,O300000000WSM1111111
QJB,BRA,A000000000BRA1111111
ZBM,FRO,H200000000FRO1111111
RYN,HUN,I400000000HUN1111111
MDO,FIN,D300000000FIN1111111
VHE,MAR,I200000000MAR1111111
HEN,HUN,N400000000HUN1111111
ILQ,DOM,M000000000DOM1111111
VEM,KAZ,E100000000KAZ1111111
VKU,COK,M300000000COK1111111
DDX,MOZ,B200000000MOZ1111111
MUN,GHA,K400000000GHA1111111
JTW,BGD,C400000000BGD1111111
MQL,BRN,A200000000BRN1111111
SUE,WLF,J100000000WLF1111111
MLI,MOZ,F400000000MOZ1111111
EMO,VCT,F300000000VCT1111111
BEI,LKA,K400000000LKA1111111
BTS,SAU,Q400000000SAU1111111
RFG,GAB,B000000000GAB1111111
YDG,BLR,G100000000BLR1111111
VEG,KWT,L100000000KWT1111111
AVR,ARG,O400000000ARG1111111
VUH,FLK,I400000000FLK1111111
XWZ,ZMB,D400000000ZMB1111111
DYJ,SPM,A100000000SPM1111111
EGQ,NFK,N400000000NFK1111111
NXH,PNG,I300000000PNG1111111
TUO,AND,C300000000AND1111111
XQD,GIB,C100000000GIB1111111
BID,MAC,N300000000MAC1111111
QAS,MLI,L100000000MLI1111111
GCY,TUN,R200000000TUN1111111
WVN,BEN,L100000000BEN1111111
WOW,DOM,D100000000DOM1111111
GYX,LAO,D100000000LAO1111111
TAP,SSD,Q300000000SSD1111111
CIH,KNA,N100000000KNA1111111
ABR,MRT,M200000000MRT1111111
SJS,FJI,D000000000FJI1111111
TLA,NZL,F100000000NZL1111111
ABH,WSM,J300000000WSM1111111
WZV,UZB,D300000000UZB1111111
XGP,SGP,B000000000SGP1111111
SDH,BFA,P300000000BFA1111111
HXD,BGD,D300000000BGD1111111
XXR,ROU,I000000000ROU1111111
YNH,BRB,Q000000000BRB1111111
WGN,AIA,S300000000AIA1111111
ZNP,FIN,K100000000FIN1111111
UCX,SLV,F200000000SLV1111111
GFB,PRI,S300000000PRI1111111
VAO,NIC,I300000000NIC1111111
IRG,REU,O400000000REU1111111
YMW,BEN,N000000000BEN1111111
WKO,ECU,B300000000ECU1111111
ULB,BEL,J100000000BEL1111111
QDU,TCD,P200000000TCD1111111
EFJ,DEU,T400000000DEU1111111
VXP,PSE,E300000000PSE1111111
GKO,GRC,L300000000GRC1111111
SWM,SLV,R000000000SLV1111111
DAR,CRI,T400000000CRI1111111
ILE,ATA,L000000000ATA1111111
USF,TGO,H400000000TGO1111111
EYI,JAM,C000000000JAM1111111
HWW,COK,K000000000COK1111111
KLN,FIN,T000000000FIN1111111
WYT,GIN,F200000000GIN1111111
GTK,AUT,S400000000AUT1111111
ZAV,CHE,B000000000CHE1111111
WDT,JEY,K000000000JEY1111111
VSO,VUT,T100000000VUT1111111
BCT,KIR,E400000000KIR1111111
MQM,PAN,F200000000PAN1111111
FRZ,SWE,M200000000SWE1111111
NJI,SOM,R000000000SOM1111111
RUJ,LVA,K000000000LVA1111111
XSK,REU,E200000000REU1111111
WLW,VGB,Q200000000VGB1111111
SYI,UKR,J200000000UKR1111111
DQQ,MCO,C400000000MCO1111111
BIU,JEY,J300000000JEY1111111
NRU,GUY,I400000000GUY1111111
XAO,COD,N400000000COD1111111
KJZ,BDI,O400000000BDI1111111
VAK,HKG,F300000000HKG1111111
HHH,LSO,S200000000LSO1111111
BDC,GEO,G300000000GEO1111111
JKH,URY,K400000000URY1111111
YYV,UZB,T200000000UZB1111111
DKU,HRV,I300000000HRV1111111
CAZ,MSR,G000000000MSR1111111
XNP,TKL,M400000000TKL1111111
BGJ,IRQ,E300000000IRQ1111111
CZP,BRA,T200000000BRA1111111
KXT,SHN,G400000000SHN1111111
BLT,GGY,H200000000GGY1111111
RSW,BHR,J400000000BHR1111111
YLF,ZMB,F300000000ZMB1111111
QWL,AUT,K400000000AUT1111111
QLC,GAB,N300000000GAB1111111
WZX,TTO,B300000000TTO1111111
KNS,PER,A100000000PER1111111
CLI,MYT,P200000000MYT1111111
PAA,NIC,C000000000NIC1111111
AVW,MCO,L400000000MCO1111111
NIH,ERI,D300000000ERI1111111
HGL,NFK,T400000000NFK1111111
KWA,HMD,A400000000HMD1111111
JZE,COG,I300000000COG1111111
RAG,ABW,L200000000ABW1111111
FKB,SLV,A000000000SLV1111111
IYL,NCL,B400000000NCL1111111
WPZ,JOR,C100000000JOR1111111
BRC,ASM,E400000000ASM1111111
HZX,GNB,B400000000GNB1111111
SYJ,LUX,R400000000LUX1111111
XLI,ISR,M200000000ISR1111111
VPJ,PCN,M400000000PCN1111111
JXR,ATF,I200000000ATF1111111
YGM,DZA,M100000000DZA1111111
WDH,GAB,O300000000GAB1111111
KYG,BGR,R100000000BGR1111111
QQH,MYS,C300000000MYS1111111
ORI,ALA,P400000000ALA1111111
XLH,TTO,Q000000000TTO1111111
UQL,MEX,F300000000MEX1111111
NFK,CRI,H400000000CRI1111111
IGE,STP,E000000000STP1111111
AJU,ROU,L300000000ROU1111111
OLL,CHN,M300000000CHN1111111
BWW,CAN,M100000000CAN1111111
ERA,LAO,R000000000LAO1111111
SWJ,GTM,O200000000GTM1111111
STN,ROU,H300000000ROU1111111
JHX,NRU,S400000000NRU1111111
AYO,MNG,A400000000MNG1111111
ZEI,MOZ,P300000000MOZ1111111
VMN,BLR,B400000000BLR1111111
CNM,DJI,O000000000DJI1111111
CMD,ATA,R400000000ATA1111111
WSX,MMR,S100000000MMR1111111
EWS,MNP,H300000000MNP1111111
OGY,CAN,M300000000CAN1111111
WNA,SXM,F300000000SXM1111111
FWL,KGZ,E300000000KGZ1111111
HWJ,YEM,L300000000YEM1111111
MSF,MCO,R000000000MCO1111111
DIU,GGY,R000000000GGY1111111
WNK,AZE,K000000000AZE1111111
QXB,CAN,K400000000CAN1111111
WIQ,TKL,P300000000TKL1111111
ZNG,DOM,H200000000DOM1111111
NFU,NOR,E100000000NOR1111111
RIH,MNG,G400000000MNG1111111
LQP,ATG,O000000000ATG1111111
FJM,HMD,J300000000HMD1111111
GWF,GEO,K300000000GEO1111111
IYF,GLP,T100000000GLP1111111
DTL,NIC,K400000000NIC1111111
HOD,HUN,T100000000HUN1111111
CQZ,IDN,P400000000IDN1111111
YCP,GHA,H200000000GHA1111111
SWM,NRU,B300000000NRU1111111
HNR,MEX,M300000000MEX1111111
DZL,MKD,O000000000MKD1111111
ODZ,NRU,S000000000NRU1111111
TUR,YEM,I100000000YEM1111111
TGS,BRN,F400000000BRN1111111
HSO,FRO,A300000000FRO1111111
FLO,GNQ,E400000000GNQ1111111
HIT,YEM,F200000000YEM1111111
ZVZ,HKG,K000000000HKG1111111
EQD,IOT,B300000000IOT1111111
ATG,ERI,G000000000ERI1111111
JNM,ASM,E200000000ASM1111111
ZLO,MKD,T000000000MKD1111111
YKM,HTI,Q400000000HTI1111111
BYR,SDN,I300000000SDN1111111
RKT,JPN,R300000000JPN1111111
WGK,CAF,C100000000CAF1111111
SQW,PSE,M100000000PSE1111111
QWT,GBR,J000000000GBR1111111
VGP,ESH,J400000000ESH1111111
CFE,SVN,N200000000SVN1111111
AAX,ASM,L100000000ASM1111111
SIP,CUB,D300000000CUB1111111
